,경기도
1970,130149
1971,150313
1972,93333
1973,143234
1974,149045
1975,253705
1976,202276
1977,207722
1978,237684
1979,278411
1980,297539
1981,252073
1982,320174
1983,400875
1984,352238
1985,390265
1986,412535
1987,405220
1988,415174
1989,412933
1990,473889
1991,384714
1992,428344
1993,502584
1994,542204
1995,599411
1996,520566
1997,495454
1998,407050
1999,471841
2000,435573
2001,499575
2002,516765
2003,457656
2004,400206
2005,414621
2006,449632
2007,431637
2008,412408
2009,398282
2010,410735
2011,373771
2012,354135
2013,340801
2014,332785
2015,359337
2016,370760
2017,342433
